user_class,purpose,demand_mode_type,demand_mode,supply_mode,weight_name,weight_value
all,work,access,walk,walk_access,time_min,2.2
all,work,access,PNR,PNR_access,walk_time_min,2
all,work,access,PNR,PNR_access,drive_time_min,1.5
all,work,access,KNR,KNR_access,drive_time_min,1.5
all,work,egress,walk,walk_egress,time_min,2.2
all,work,egress,PNR,PNR_egress,walk_time_min,2
all,work,egress,PNR,PNR_egress,drive_time_min,1.5
all,work,egress,KNR,KNR_egress,drive_time_min,1.5
all,work,transit,rapid_bus,rapid_bus,wait_time_min,1.8
all,work,transit,rapid_bus,rapid_bus,in_vehicle_time_min,1
all,work,transfer,transfer,transfer,walk_time_min,5
all,work,transfer,transfer,transfer,transfer_penalty,60
all,personal_business,access,walk,walk_access,time_min,2.2
all,personal_business,access,PNR,PNR_access,walk_time_min,2
all,personal_business,access,PNR,PNR_access,drive_time_min,1.5
all,personal_business,access,KNR,KNR_access,drive_time_min,1.5
all,personal_business,egress,walk,walk_egress,time_min,2.2
all,personal_business,egress,PNR,PNR_egress,walk_time_min,2
all,personal_business,egress,PNR,PNR_egress,drive_time_min,1.5
all,personal_business,egress,KNR,KNR_egress,drive_time_min,1.5
all,personal_business,transit,rapid_bus,rapid_bus,wait_time_min,1.8
all,personal_business,transit,rapid_bus,rapid_bus,in_vehicle_time_min,1
all,personal_business,transfer,transfer,transfer,walk_time_min,5
all,personal_business,transfer,transfer,transfer,transfer_penalty,60
all,shopping,access,walk,walk_access,time_min,2.2
all,shopping,access,PNR,PNR_access,walk_time_min,2
all,shopping,access,PNR,PNR_access,drive_time_min,1.5
all,shopping,access,KNR,KNR_access,drive_time_min,1.5
all,shopping,egress,walk,walk_egress,time_min,2.2
all,shopping,egress,PNR,PNR_egress,walk_time_min,2
all,shopping,egress,PNR,PNR_egress,drive_time_min,1.5
all,shopping,egress,KNR,KNR_egress,drive_time_min,1.5
all,shopping,transit,rapid_bus,rapid_bus,wait_time_min,1.8
all,shopping,transit,rapid_bus,rapid_bus,in_vehicle_time_min,1
all,shopping,transfer,transfer,transfer,walk_time_min,5
all,shopping,transfer,transfer,transfer,transfer_penalty,60
all,social,access,walk,walk_access,time_min,2.2
all,social,access,PNR,PNR_access,walk_time_min,2
all,social,access,PNR,PNR_access,drive_time_min,1.5
all,social,access,KNR,KNR_access,drive_time_min,1.5
all,social,egress,walk,walk_egress,time_min,2.2
all,social,egress,PNR,PNR_egress,walk_time_min,2
all,social,egress,PNR,PNR_egress,drive_time_min,1.5
all,social,egress,KNR,KNR_egress,drive_time_min,1.5
all,social,transit,rapid_bus,rapid_bus,wait_time_min,1.8
all,social,transit,rapid_bus,rapid_bus,in_vehicle_time_min,1
all,social,transfer,transfer,transfer,walk_time_min,5
all,social,transfer,transfer,transfer,transfer_penalty,60
all,visitor,access,walk,walk_access,time_min,2.2
all,visitor,access,PNR,PNR_access,walk_time_min,2
all,visitor,access,PNR,PNR_access,drive_time_min,1.5
all,visitor,access,KNR,KNR_access,drive_time_min,1.5
all,visitor,egress,walk,walk_egress,time_min,2.2
all,visitor,egress,PNR,PNR_egress,walk_time_min,2
all,visitor,egress,PNR,PNR_egress,drive_time_min,1.5
all,visitor,egress,KNR,KNR_egress,drive_time_min,1.5
all,visitor,transit,rapid_bus,rapid_bus,wait_time_min,1.8
all,visitor,transit,rapid_bus,rapid_bus,in_vehicle_time_min,1
all,visitor,transfer,transfer,transfer,walk_time_min,5
all,visitor,transfer,transfer,transfer,transfer_penalty,60
