person_id,person_trip_id,o_taz,d_taz,mode,purpose,departure_time,arrival_time,time_target,vot,pnr_ids
P1,1,1388,2721,KNR-rapid_bus-walk,work,7:07:00,8:27:00,departure,24.4,
P2,2,1388,2534,KNR-rapid_bus-KNR,social,8:19:00,9:39:00,departure,19,
P3,3,1388,2534,KNR-rapid_bus-KNR,social,7:59:00,9:19:00,departure,19,
P4,4,1388,2534,KNR-rapid_bus-KNR,social,7:46:00,9:06:00,departure,19,
P5,5,1388,2937,KNR-rapid_bus-walk,work,7:30:00,8:50:00,departure,24.4,
P6,6,1388,2561,KNR-rapid_bus-KNR,social,6:59:00,8:19:00,departure,19,
P7,7,1388,2627,PNR-rapid_bus-KNR,work,6:13:00,7:33:00,departure,24.4,
P8,8,1388,2627,walk-rapid_bus-KNR,social,6:44:00,8:04:00,departure,19,
P9,9,1388,2627,KNR-rapid_bus-walk,work,8:51:00,10:11:00,departure,24.4,
P10,10,1388,3230,PNR-rapid_bus-walk,work,6:42:00,8:02:00,departure,24.4,
P11,11,1388,3230,PNR-rapid_bus-walk,work,7:46:00,9:06:00,departure,24.4,
P12,12,1388,3230,walk-rapid_bus-KNR,work,7:44:00,9:04:00,departure,24.4,
P13,13,1388,3230,walk-rapid_bus-KNR,work,7:23:00,8:43:00,departure,24.4,
P14,14,1388,3230,PNR-rapid_bus-walk,personal_business,8:39:00,9:59:00,departure,17.5,
P15,15,1388,3230,PNR-rapid_bus-walk,personal_business,7:13:00,8:33:00,departure,17.5,
P16,16,1388,3230,walk-rapid_bus-KNR,social,6:24:00,7:44:00,departure,19,
P17,17,1388,3230,walk-rapid_bus-KNR,social,7:23:00,8:43:00,departure,19,
P18,18,1388,3230,walk-rapid_bus-KNR,social,7:29:00,8:49:00,departure,19,
P19,19,1388,3230,walk-rapid_bus-KNR,social,6:20:00,7:40:00,departure,19,
P20,20,1388,3022,PNR-rapid_bus-walk,work,8:09:00,9:29:00,departure,24.4,
P21,21,1388,3022,walk-rapid_bus-KNR,work,7:00:00,8:20:00,departure,24.4,
P22,22,1388,3022,PNR-rapid_bus-walk,personal_business,8:53:00,10:13:00,departure,17.5,
P23,23,1388,3022,walk-rapid_bus-KNR,social,8:30:00,9:50:00,departure,19,
P24,24,1388,3022,walk-rapid_bus-KNR,social,8:46:00,10:06:00,departure,19,
P25,25,1388,3074,PNR-rapid_bus-walk,work,8:55:00,10:15:00,departure,24.4,
P26,26,1388,3074,PNR-rapid_bus-walk,work,8:00:00,9:20:00,departure,24.4,
P27,27,1388,3074,PNR-rapid_bus-walk,work,8:40:00,10:00:00,departure,24.4,
P28,28,1388,3074,PNR-rapid_bus-walk,work,8:19:00,9:39:00,departure,24.4,
P29,29,1388,3074,PNR-rapid_bus-walk,work,8:33:00,9:53:00,departure,24.4,
P30,30,1388,3074,PNR-rapid_bus-walk,work,8:59:00,10:19:00,departure,24.4,
P31,31,1388,3074,PNR-rapid_bus-walk,work,6:46:00,8:06:00,departure,24.4,
P32,32,1388,3074,PNR-rapid_bus-KNR,work,6:35:00,7:55:00,departure,24.4,
P33,33,1388,3074,PNR-rapid_bus-KNR,work,8:39:00,9:59:00,departure,24.4,
P34,34,1388,3074,PNR-rapid_bus-KNR,work,6:52:00,8:12:00,departure,24.4,
P35,35,1388,3074,walk-rapid_bus-KNR,work,8:00:00,9:20:00,departure,24.4,
P36,36,1388,3074,walk-rapid_bus-KNR,work,6:41:00,8:01:00,departure,24.4,
P37,37,1388,3074,walk-rapid_bus-KNR,work,6:45:00,8:05:00,departure,24.4,
P38,38,1388,3074,walk-rapid_bus-KNR,work,8:06:00,9:26:00,departure,24.4,
P39,39,1388,3074,walk-rapid_bus-KNR,work,6:18:00,7:38:00,departure,24.4,
P40,40,1388,3074,walk-rapid_bus-KNR,work,6:59:00,8:19:00,departure,24.4,
P41,41,1388,3074,walk-rapid_bus-KNR,work,6:57:00,8:17:00,departure,24.4,
P42,42,1388,3074,PNR-rapid_bus-walk,personal_business,8:47:00,10:07:00,departure,17.5,
P43,43,1388,3074,PNR-rapid_bus-walk,personal_business,8:54:00,10:14:00,departure,17.5,
P44,44,1388,3074,PNR-rapid_bus-walk,personal_business,8:17:00,9:37:00,departure,17.5,
P45,45,1388,3074,PNR-rapid_bus-walk,personal_business,6:29:00,7:49:00,departure,17.5,
P46,46,1388,3074,PNR-rapid_bus-walk,personal_business,6:25:00,7:45:00,departure,17.5,
P47,47,1388,3074,PNR-rapid_bus-walk,personal_business,6:29:00,7:49:00,departure,17.5,
P48,48,1388,3074,PNR-rapid_bus-walk,personal_business,8:30:00,9:50:00,departure,17.5,
P49,49,1388,3074,walk-rapid_bus-KNR,social,8:17:00,9:37:00,departure,19,
P50,50,1388,3074,walk-rapid_bus-KNR,social,7:27:00,8:47:00,departure,19,
P51,51,1388,3074,walk-rapid_bus-KNR,social,6:42:00,8:02:00,departure,19,
P52,52,1388,3074,walk-rapid_bus-KNR,social,8:12:00,9:32:00,departure,19,
P53,53,1388,3074,walk-rapid_bus-KNR,social,6:39:00,7:59:00,departure,19,
P54,54,1388,3074,walk-rapid_bus-KNR,social,8:43:00,10:03:00,departure,19,
P55,55,1388,3074,walk-rapid_bus-KNR,social,6:03:00,7:23:00,departure,19,
P56,56,1388,3074,walk-rapid_bus-KNR,social,6:05:00,7:25:00,departure,19,
P57,57,1388,3074,walk-rapid_bus-KNR,social,8:12:00,9:32:00,departure,19,
P58,58,1388,3074,walk-rapid_bus-KNR,social,8:07:00,9:27:00,departure,19,
P59,59,1388,3074,walk-rapid_bus-KNR,social,8:33:00,9:53:00,departure,19,
P60,60,1388,3074,walk-rapid_bus-KNR,social,7:17:00,8:37:00,departure,19,
P61,61,1388,3074,walk-rapid_bus-KNR,social,6:21:00,7:41:00,departure,19,
P62,62,1388,3074,walk-rapid_bus-KNR,social,7:37:00,8:57:00,departure,19,
P63,63,1388,3074,walk-rapid_bus-KNR,social,6:07:00,7:27:00,departure,19,
P64,64,1388,3074,walk-rapid_bus-KNR,social,8:01:00,9:21:00,departure,19,
P65,65,1388,3074,walk-rapid_bus-KNR,social,6:54:00,8:14:00,departure,19,
P66,66,1388,3074,PNR-rapid_bus-walk,shopping,7:16:00,8:36:00,departure,17.5,
P67,67,1388,3074,PNR-rapid_bus-walk,shopping,6:30:00,7:50:00,departure,17.5,
P68,68,1388,3074,KNR-rapid_bus-PNR,visitor,8:10:00,9:30:00,departure,19,
P69,69,1388,3074,KNR-rapid_bus-PNR,visitor,7:44:00,9:04:00,departure,19,
P70,70,1388,3074,KNR-rapid_bus-PNR,visitor,7:04:00,8:24:00,departure,19,
P71,71,1388,3074,KNR-rapid_bus-PNR,visitor,8:33:00,9:53:00,departure,19,
P72,72,1388,3074,KNR-rapid_bus-PNR,visitor,8:50:00,10:10:00,departure,19,
P73,73,1388,3007,PNR-rapid_bus-walk,work,6:48:00,8:08:00,departure,24.4,
P74,74,1388,3007,PNR-rapid_bus-walk,work,6:21:00,7:41:00,departure,24.4,
P75,75,1388,3007,PNR-rapid_bus-walk,work,6:14:00,7:34:00,departure,24.4,
P76,76,1388,3007,PNR-rapid_bus-KNR,work,8:45:00,10:05:00,departure,24.4,
P77,77,1388,3007,walk-rapid_bus-KNR,work,7:56:00,9:16:00,departure,24.4,
P78,78,1388,3007,walk-rapid_bus-KNR,work,8:44:00,10:04:00,departure,24.4,
P79,79,1388,3007,walk-rapid_bus-KNR,work,6:19:00,7:39:00,departure,24.4,
P80,80,1388,3007,PNR-rapid_bus-walk,personal_business,7:58:00,9:18:00,departure,17.5,
