user_class,purpose,demand_mode_type,demand_mode,supply_mode,weight_name,weight_value
all,personal_business,access,walk,walk_access,time_min,2
all,personal_business,egress,walk,walk_egress,time_min,2
all,personal_business,transit,rapid_bus,rapid_bus,wait_time_min,2
all,personal_business,transit,rapid_bus,rapid_bus,in_vehicle_time_min,1
all,personal_business,transfer,transfer,transfer,walk_time_min,5
all,personal_business,transfer,transfer,transfer,transfer_penalty,40
all,other,access,walk,walk_access,time_min,2
all,other,egress,walk,walk_egress,time_min,2
all,other,transit,rapid_bus,rapid_bus,wait_time_min,2
all,other,transit,rapid_bus,rapid_bus,in_vehicle_time_min,1
all,other,transfer,transfer,transfer,walk_time_min,5
all,other,transfer,transfer,transfer,transfer_penalty,40
