trip_id,arrival_time,departure_time,stop_id,stop_sequence
12_1,6:00:00,6:00:00,PHX1,1
12_1,7:04:42,7:04:42,TUS12,2
12_2,6:15:00,6:15:00,PHX1,1
12_2,7:19:42,7:19:42,TUS12,2
12_3,6:30:00,6:30:00,PHX1,1
12_3,7:34:42,7:34:42,TUS12,2
12_4,6:45:00,6:45:00,PHX1,1
12_4,7:49:42,7:49:42,TUS12,2
12_5,7:00:00,7:00:00,PHX1,1
12_5,8:04:42,8:04:42,TUS12,2
12_6,7:15:00,7:15:00,PHX1,1
12_6,8:19:42,8:19:42,TUS12,2
12_7,7:30:00,7:30:00,PHX1,1
12_7,8:34:42,8:34:42,TUS12,2
12_8,7:45:00,7:45:00,PHX1,1
12_8,8:49:42,8:49:42,TUS12,2
12_9,8:00:00,8:00:00,PHX1,1
12_9,9:04:42,9:04:42,TUS12,2
12_10,8:15:00,8:15:00,PHX1,1
12_10,9:19:42,9:19:42,TUS12,2
12_11,8:30:00,8:30:00,PHX1,1
12_11,9:34:42,9:34:42,TUS12,2
12_12,8:45:00,8:45:00,PHX1,1
12_12,9:49:42,9:49:42,TUS12,2
12_13,9:00:00,9:00:00,PHX1,1
12_13,10:04:42,10:04:42,TUS12,2
20_1,6:00:00,6:00:00,PHX1,1
20_1,7:21:00,7:21:00,TUS20,2
20_2,6:15:00,6:15:00,PHX1,1
20_2,7:36:00,7:36:00,TUS20,2
20_3,6:30:00,6:30:00,PHX1,1
20_3,7:51:00,7:51:00,TUS20,2
20_4,6:45:00,6:45:00,PHX1,1
20_4,8:06:00,8:06:00,TUS20,2
20_5,7:00:00,7:00:00,PHX1,1
20_5,8:21:00,8:21:00,TUS20,2
20_6,7:15:00,7:15:00,PHX1,1
20_6,8:36:00,8:36:00,TUS20,2
20_7,7:30:00,7:30:00,PHX1,1
20_7,8:51:00,8:51:00,TUS20,2
20_8,7:45:00,7:45:00,PHX1,1
20_8,9:06:00,9:06:00,TUS20,2
20_9,8:00:00,8:00:00,PHX1,1
20_9,9:21:00,9:21:00,TUS20,2
20_10,8:15:00,8:15:00,PHX1,1
20_10,9:36:00,9:36:00,TUS20,2
20_11,8:30:00,8:30:00,PHX1,1
20_11,9:51:00,9:51:00,TUS20,2
20_12,8:45:00,8:45:00,PHX1,1
20_12,10:06:00,10:06:00,TUS20,2
20_13,9:00:00,9:00:00,PHX1,1
20_13,10:21:00,10:21:00,TUS20,2
33_1,6:00:00,6:00:00,PHX2,1
33_1,7:07:12,7:07:12,TUS11,2
33_2,6:15:00,6:15:00,PHX2,1
33_2,7:22:12,7:22:12,TUS11,2
33_3,6:30:00,6:30:00,PHX2,1
33_3,7:37:12,7:37:12,TUS11,2
33_4,6:45:00,6:45:00,PHX2,1
33_4,7:52:12,7:52:12,TUS11,2
33_5,7:00:00,7:00:00,PHX2,1
33_5,8:07:12,8:07:12,TUS11,2
33_6,7:15:00,7:15:00,PHX2,1
33_6,8:22:12,8:22:12,TUS11,2
