taz,lot_id,direction,dist,travel_time,cost,start_time,end_time
1388,PHX1_P,access,0.4,1.5,0,0:00:00,24:00:00
1388,PHX2_P,access,4.21,7.21,0,0:00:00,24:00:00
1388,PHX21_P,access,4.92,8.44,0,0:00:00,24:00:00
1388,PHX23_P,access,5.85,10.03,0,0:00:00,24:00:00
1388,PHX10_P,access,4.88,8.37,0,0:00:00,24:00:00
1388,PHX18_P,access,5.78,9.92,0,0:00:00,24:00:00
1302,PHX2_P,access,0.4,1.5,0,0:00:00,24:00:00
1302,PHX1_P,access,4.22,7.23,0,0:00:00,24:00:00
1302,PHX21_P,access,3.1,5.32,0,0:00:00,24:00:00
880,PHX4_P,access,0.5,1.5,0,0:00:00,24:00:00
880,PHX17_P,access,6.2,10.63,0,0:00:00,24:00:00
880,PHX24_P,access,5.15,8.82,0,0:00:00,24:00:00
2365,PHX5_P,access,0.8,1.5,0,0:00:00,24:00:00
2365,PHX19_P,access,11.08,18.99,0,0:00:00,24:00:00
2365,PHX26_P,access,8.8,15.09,0,0:00:00,24:00:00
2245,PHX7_P,access,0.5,1.5,0,0:00:00,24:00:00
2245,PHX2_P,access,5.58,9.56,0,0:00:00,24:00:00
815,PHX4_P,access,3.55,6.08,0,0:00:00,24:00:00
1623,PHX10_P,access,0.4,1.5,0,0:00:00,24:00:00
1623,PHX1_P,access,4.94,8.46,0,0:00:00,24:00:00
1623,PHX23_P,access,3.55,6.09,0,0:00:00,24:00:00
1078,PHX7_P,access,4.46,7.65,0,0:00:00,24:00:00
1781,PHX10_P,access,4.55,7.8,0,0:00:00,24:00:00
1781,PHX23_P,access,5.8,9.94,0,0:00:00,24:00:00
732,PHX17_P,access,0.8,1.5,0,0:00:00,24:00:00
732,PHX4_P,access,6.24,10.7,0,0:00:00,24:00:00
732,PHX24_P,access,4.78,8.2,0,0:00:00,24:00:00
1440,PHX18_P,access,0.8,1.5,0,0:00:00,24:00:00
1440,PHX1_P,access,5.78,9.92,0,0:00:00,24:00:00
1440,PHX2_P,access,5.73,9.83,0,0:00:00,24:00:00
1440,PHX21_P,access,4.08,7,0,0:00:00,24:00:00
1700,PHX19_P,access,0.8,1.5,0,0:00:00,24:00:00
1700,PHX20_P,access,3.39,5.82,0,0:00:00,24:00:00
1700,PHX28_P,access,8.12,13.92,0,0:00:00,24:00:00
1686,PHX20_P,access,0.5,1.5,0,0:00:00,24:00:00
1686,PHX19_P,access,3.39,5.82,0,0:00:00,24:00:00
1686,PHX27_P,access,5.83,9.99,0,0:00:00,24:00:00
1686,PHX28_P,access,6.24,10.7,0,0:00:00,24:00:00
1395,PHX21_P,access,0.8,1.5,0,0:00:00,24:00:00
1395,PHX2_P,access,3.07,5.27,0,0:00:00,24:00:00
1395,PHX1_P,access,4.89,8.39,0,0:00:00,24:00:00
1395,PHX18_P,access,4.08,7,0,0:00:00,24:00:00
1842,PHX26_P,access,10.36,17.75,0,0:00:00,24:00:00
1588,PHX23_P,access,0.5,1.5,0,0:00:00,24:00:00
1588,PHX10_P,access,3.55,6.09,0,0:00:00,24:00:00
1588,PHX1_P,access,5.95,10.19,0,0:00:00,24:00:00
1180,PHX24_P,access,0.5,1.5,0,0:00:00,24:00:00
1180,PHX4_P,access,4.98,8.53,0,0:00:00,24:00:00
1180,PHX17_P,access,4.75,8.15,0,0:00:00,24:00:00
1065,PHX7_P,access,4.16,7.13,0,0:00:00,24:00:00
1919,PHX26_P,access,0.8,1.5,0,0:00:00,24:00:00
1919,PHX5_P,access,8.8,15.09,0,0:00:00,24:00:00
1658,PHX27_P,access,0.5,1.5,0,0:00:00,24:00:00
1658,PHX28_P,access,5.21,8.94,0,0:00:00,24:00:00
1658,PHX20_P,access,6.1,10.45,0,0:00:00,24:00:00
1468,PHX28_P,access,0.5,1.5,0,0:00:00,24:00:00
1468,PHX27_P,access,5.21,8.94,0,0:00:00,24:00:00
1468,PHX20_P,access,6.23,10.67,0,0:00:00,24:00:00
1578,PHX10_P,access,6.28,10.76,0,0:00:00,24:00:00
1578,PHX23_P,access,3.37,5.77,0,0:00:00,24:00:00
2747,TUS11_P,egress,6.21,10.64,0,0:00:00,24:00:00
2937,TUS13_P,egress,8.23,14.11,0,0:00:00,24:00:00
2937,TUS18_P,egress,11.11,19.05,0,0:00:00,24:00:00
3230,TUS9_P,egress,0.8,1.5,0,0:00:00,24:00:00
2920,TUS9_P,egress,12,20.57,0,0:00:00,24:00:00
2920,TUS11_P,egress,7.5,12.86,0,0:00:00,24:00:00
2920,TUS12_P,egress,5,8.57,0,0:00:00,24:00:00
3022,TUS11_P,egress,0.5,1.5,0,0:00:00,24:00:00
3022,TUS12_P,egress,2.81,4.82,0,0:00:00,24:00:00
3022,TUS20_P,egress,12.87,22.07,0,0:00:00,24:00:00
3074,TUS12_P,egress,0.5,1.5,0,0:00:00,24:00:00
3074,TUS11_P,egress,2.81,4.82,0,0:00:00,24:00:00
3074,TUS20_P,egress,12.89,22.09,0,0:00:00,24:00:00
3007,TUS13_P,egress,0.8,1.5,0,0:00:00,24:00:00
3273,TUS18_P,egress,0.8,1.5,0,0:00:00,24:00:00
3148,TUS20_P,egress,0.8,1.5,0,0:00:00,24:00:00
3148,TUS11_P,egress,12.87,22.07,0,0:00:00,24:00:00
3148,TUS12_P,egress,12.89,22.09,0,0:00:00,24:00:00
