lot_id,lot_lat,lot_lon
PHX1_P,33.433358,-112.012119
PHX2_P,33.449377,-112.071722
PHX4_P,33.53006,-112.2587
PHX5_P,33.29918,-111.65369
PHX7_P,33.52049,-112.10405
PHX10_P,33.42571,-111.93604
PHX17_P,33.4428,-112.2973
PHX18_P,33.3856,-112.0381
PHX19_P,33.2991,-111.8497
PHX20_P,33.298332,-111.901618
PHX21_P,33.4138,-112.0772
PHX23_P,33.46204,-111.93002
PHX24_P,33.46708,-112.22909
PHX26_P,33.3905,-111.6914
PHX27_P,33.34176,-111.96705
PHX28_P,33.2768,-111.9814
TUS9_P,32.4445,-110.9373
TUS11_P,32.3411,-111.0556
TUS12_P,32.3486,-111.082
TUS13_P,32.12579,-111.07606
TUS18_P,31.95184,-110.97464
TUS20_P,32.2602,-111.169
