route_id,route_short_name,route_long_name,route_type
12,12,SkyHarbor_Marana,3
20,20,SkyHarbor_DesertMuseum,3
33,33,DowntownPHX_Ina,3
34,34,DowntownPHX_Marana,3
42,42,DowntownPHX_DesertMuseum,3
78,78,GlendaleStadium_Marana,3
97,97,PhxMesaAirport_OroValley,3
100,100,PhxMesaAirport_Marana,3
144,144,19thBethanyRd_Marana,3
152,152,19thBethanyRd_DesertMuseum,3
185,185,ASU_OroValley,3
342,342,Avondale_Marana,3
350,350,Avondale_DesertMuseum,3
364,364,24thBaseline_Marana,3
383,383,Chandler_OroValley,3
386,386,Chandler_Marana,3
392,392,Chandler_Sahaurita,3
405,405,ChandlerFashionCntr_OroValley,3
427,427,EdPastorTC_OroValley,3
430,430,EdPastorTC_Marana,3
471,471,SkySongTC_OroValley,3
496,496,DesertSkyTC_Marana,3
504,504,DesertSkyTC_DesertMuseum,3
540,540,SuperstitionTC_Marana,3
559,559,IKEA_OroValley,3
562,562,IKEA_Marana,3
563,563,IKEA_DelSol,3
570,570,IKEA_DesertMuseum,3
581,581,PhxOutlet_OroValley,3
584,584,PhxOutlet_Marana,3
