trip_id,arrival_time,departure_time,stop_id,stop_sequence
12_1,06:00:00,06:00:00,PHX1,1
12_1,07:04:00,07:04:00,TUS12,2
12_2,06:15:00,06:15:00,PHX1,1
12_2,07:19:00,07:19:00,TUS12,2
12_3,06:30:00,06:30:00,PHX1,1
12_3,07:34:00,07:34:00,TUS12,2
12_4,06:45:00,06:45:00,PHX1,1
12_4,07:49:00,07:49:00,TUS12,2
12_5,07:00:00,07:00:00,PHX1,1
12_5,08:04:00,08:04:00,TUS12,2
12_6,07:15:00,07:15:00,PHX1,1
12_6,08:19:00,08:19:00,TUS12,2
12_7,07:30:00,07:30:00,PHX1,1
12_7,08:34:00,08:34:00,TUS12,2
12_8,07:45:00,07:45:00,PHX1,1
12_8,08:49:00,08:49:00,TUS12,2
12_9,08:00:00,08:00:00,PHX1,1
12_9,09:04:00,09:04:00,TUS12,2
12_10,08:15:00,08:15:00,PHX1,1
12_10,09:19:00,09:19:00,TUS12,2
12_11,08:30:00,08:30:00,PHX1,1
12_11,09:34:00,09:34:00,TUS12,2
12_12,08:45:00,08:45:00,PHX1,1
12_12,09:49:00,09:49:00,TUS12,2
12_13,09:00:00,09:00:00,PHX1,1
12_13,10:04:00,10:04:00,TUS12,2
20_1,06:00:00,06:00:00,PHX1,1
20_1,07:21:00,07:21:00,TUS20,2
20_2,06:15:00,06:15:00,PHX1,1
20_2,07:36:00,07:36:00,TUS20,2
20_3,06:30:00,06:30:00,PHX1,1
20_3,07:51:00,07:51:00,TUS20,2
20_4,06:45:00,06:45:00,PHX1,1
20_4,08:06:00,08:06:00,TUS20,2
20_5,07:00:00,07:00:00,PHX1,1
20_5,08:21:00,08:21:00,TUS20,2
20_6,07:15:00,07:15:00,PHX1,1
20_6,08:36:00,08:36:00,TUS20,2
20_7,07:30:00,07:30:00,PHX1,1
20_7,08:51:00,08:51:00,TUS20,2
20_8,07:45:00,07:45:00,PHX1,1
20_8,09:06:00,09:06:00,TUS20,2
20_9,08:00:00,08:00:00,PHX1,1
20_9,09:21:00,09:21:00,TUS20,2
20_10,08:15:00,08:15:00,PHX1,1
20_10,09:36:00,09:36:00,TUS20,2
20_11,08:30:00,08:30:00,PHX1,1
20_11,09:51:00,09:51:00,TUS20,2
20_12,08:45:00,08:45:00,PHX1,1
20_12,10:06:00,10:06:00,TUS20,2
20_13,09:00:00,09:00:00,PHX1,1
20_13,10:21:00,10:21:00,TUS20,2
33_1,06:00:00,06:00:00,PHX2,1
33_1,07:07:00,07:07:00,TUS11,2
33_2,06:15:00,06:15:00,PHX2,1
33_2,07:22:00,07:22:00,TUS11,2
33_3,06:30:00,06:30:00,PHX2,1
33_3,07:37:00,07:37:00,TUS11,2
33_4,06:45:00,06:45:00,PHX2,1
33_4,07:52:00,07:52:00,TUS11,2
33_5,07:00:00,07:00:00,PHX2,1
33_5,08:07:00,08:07:00,TUS11,2
33_6,07:15:00,07:15:00,PHX2,1
33_6,08:22:00,08:22:00,TUS11,2
33_7,07:30:00,07:30:00,PHX2,1
33_7,08:37:00,08:37:00,TUS11,2
33_8,07:45:00,07:45:00,PHX2,1
33_8,08:52:00,08:52:00,TUS11,2
33_9,08:00:00,08:00:00,PHX2,1
33_9,09:07:00,09:07:00,TUS11,2
33_10,08:15:00,08:15:00,PHX2,1
33_10,09:22:00,09:22:00,TUS11,2
33_11,08:30:00,08:30:00,PHX2,1
33_11,09:37:00,09:37:00,TUS11,2
33_12,08:45:00,08:45:00,PHX2,1
33_12,09:52:00,09:52:00,TUS11,2
33_13,09:00:00,09:00:00,PHX2,1
33_13,10:07:00,10:07:00,TUS11,2
34_1,06:00:00,06:00:00,PHX2,1
34_1,07:06:00,07:06:00,TUS12,2
34_2,06:10:00,06:10:00,PHX2,1
34_2,07:16:00,07:16:00,TUS12,2
34_3,06:20:00,06:20:00,PHX2,1
34_3,07:26:00,07:26:00,TUS12,2
34_4,06:30:00,06:30:00,PHX2,1
34_4,07:36:00,07:36:00,TUS12,2
34_5,06:40:00,06:40:00,PHX2,1
34_5,07:46:00,07:46:00,TUS12,2
34_6,06:50:00,06:50:00,PHX2,1
34_6,07:56:00,07:56:00,TUS12,2
34_7,07:00:00,07:00:00,PHX2,1
34_7,08:06:00,08:06:00,TUS12,2
34_8,07:10:00,07:10:00,PHX2,1
34_8,08:16:00,08:16:00,TUS12,2
34_9,07:20:00,07:20:00,PHX2,1
34_9,08:26:00,08:26:00,TUS12,2
34_10,07:30:00,07:30:00,PHX2,1
34_10,08:36:00,08:36:00,TUS12,2
34_11,07:40:00,07:40:00,PHX2,1
34_11,08:46:00,08:46:00,TUS12,2
34_12,07:50:00,07:50:00,PHX2,1
34_12,08:56:00,08:56:00,TUS12,2
34_13,08:00:00,08:00:00,PHX2,1
34_13,09:06:00,09:06:00,TUS12,2
34_14,08:10:00,08:10:00,PHX2,1
34_14,09:16:00,09:16:00,TUS12,2
34_15,08:20:00,08:20:00,PHX2,1
34_15,09:26:00,09:26:00,TUS12,2
34_16,08:30:00,08:30:00,PHX2,1
34_16,09:36:00,09:36:00,TUS12,2
34_17,08:40:00,08:40:00,PHX2,1
34_17,09:46:00,09:46:00,TUS12,2
34_18,08:50:00,08:50:00,PHX2,1
