from_stop_id,to_stop_id,dist
PHX1_P,PHX1,0
PHX2_P,PHX2,0
PHX21_P,PHX21,0
PHX23_P,PHX23,0
PHX10_P,PHX10,0
PHX18_P,PHX18,0
PHX2_P,PHX2,0
PHX1_P,PHX1,0
PHX21_P,PHX21,0
PHX4_P,PHX4,0
PHX17_P,PHX17,0
PHX24_P,PHX24,0
PHX5_P,PHX5,0
PHX19_P,PHX19,0
PHX26_P,PHX26,0
PHX7_P,PHX7,0
PHX2_P,PHX2,0
PHX4_P,PHX4,0
PHX10_P,PHX10,0
PHX1_P,PHX1,0
PHX23_P,PHX23,0
PHX7_P,PHX7,0
PHX10_P,PHX10,0
PHX23_P,PHX23,0
PHX17_P,PHX17,0
PHX4_P,PHX4,0
PHX24_P,PHX24,0
PHX18_P,PHX18,0
PHX1_P,PHX1,0
PHX2_P,PHX2,0
PHX21_P,PHX21,0
PHX19_P,PHX19,0
PHX20_P,PHX20,0
PHX28_P,PHX28,0
PHX20_P,PHX20,0
PHX19_P,PHX19,0
PHX27_P,PHX27,0
PHX28_P,PHX28,0
PHX21_P,PHX21,0
PHX2_P,PHX2,0
PHX1_P,PHX1,0
PHX18_P,PHX18,0
PHX26_P,PHX26,0
PHX23_P,PHX23,0
PHX10_P,PHX10,0
PHX1_P,PHX1,0
PHX24_P,PHX24,0
PHX4_P,PHX4,0
PHX17_P,PHX17,0
PHX7_P,PHX7,0
PHX26_P,PHX26,0
PHX5_P,PHX5,0
PHX27_P,PHX27,0
PHX28_P,PHX28,0
PHX20_P,PHX20,0
PHX28_P,PHX28,0
PHX27_P,PHX27,0
PHX20_P,PHX20,0
PHX10_P,PHX10,0
PHX23_P,PHX23,0
TUS11,TUS11_P,0
TUS13,TUS13_P,0
TUS18,TUS18_P,0
TUS9,TUS9_P,0
TUS9,TUS9_P,0
TUS11,TUS11_P,0
TUS12,TUS12_P,0
TUS11,TUS11_P,0
TUS12,TUS12_P,0
TUS20,TUS20_P,0
TUS12,TUS12_P,0
TUS11,TUS11_P,0
TUS20,TUS20_P,0
TUS13,TUS13_P,0
TUS18,TUS18_P,0
TUS20,TUS20_P,0
TUS11,TUS11_P,0
TUS12,TUS12_P,0
