taz,stop_id,direction,dist
1388,PHX1,access,0.4
1302,PHX2,access,0.4
880,PHX4,access,0.5
2365,PHX5,access,0.8
2245,PHX7,access,0.5
1623,PHX10,access,0.4
732,PHX17,access,0.8
1440,PHX18,access,0.8
1700,PHX19,access,0.8
1686,PHX20,access,0.5
1395,PHX21,access,0.8
1588,PHX23,access,0.5
1180,PHX24,access,0.5
1919,PHX26,access,0.8
1658,PHX27,access,0.5
1468,PHX28,access,0.5
3230,TUS9,egress,0.8
3022,TUS11,egress,0.5
3074,TUS12,egress,0.5
3007,TUS13,egress,0.8
3273,TUS18,egress,0.8
3148,TUS20,egress,0.8
