taz,stop_id,dist,elevation_gain,retail_density,auto_capacity,path_dist,cycletrack_dist,bike_lane_dist,bike_route_dist,num_left_turns,num_right_turns,num_thru,num_signals
1388,PHX1,0.4,3.085309502,4.884663929,87,0.4,0.4,0.4,0.4,3,10,2,5
1302,PHX2,0.4,0.77026242,3.521817114,0,0.4,0.4,0.4,0.4,9,0,4,5
880,PHX4,0.5,1.176334922,3.733047882,4,0.5,0.5,0.5,0.5,10,1,6,4
2365,PHX5,0.8,1.73667118,0.289397465,10,0.8,0.8,0.8,0.8,8,6,6,6
2245,PHX7,0.5,3.92087274,2.067343951,66,0.5,0.5,0.5,0.5,6,8,10,8
1623,PHX10,0.4,1.107362985,0.610725344,82,0.4,0.4,0.4,0.4,4,1,8,7
732,PHX17,0.8,2.724888608,5.903242043,60,0.8,0.8,0.8,0.8,4,3,7,5
1440,PHX18,0.8,0.934743886,2.917169787,81,0.8,0.8,0.8,0.8,3,9,3,7
1700,PHX19,0.8,2.194447842,2.764303785,73,0.8,0.8,0.8,0.8,3,9,3,1
1686,PHX20,0.5,2.123557277,0.408701971,83,0.5,0.5,0.5,0.5,3,8,4,8
1395,PHX21,0.8,0.240399146,1.465521212,56,0.8,0.8,0.8,0.8,6,9,5,10
1588,PHX23,0.5,2.06753288,4.583961593,62,0.5,0.5,0.5,0.5,7,7,9,8
1180,PHX24,0.5,2.569340212,5.248973574,11,0.5,0.5,0.5,0.5,8,1,2,8
1919,PHX26,0.8,0.874276869,1.615432686,24,0.8,0.8,0.8,0.8,4,2,3,5
1658,PHX27,0.5,3.491063947,2.168722051,32,0.5,0.5,0.5,0.5,9,0,9,6
1468,PHX28,0.5,1.868110981,5.574243135,21,0.5,0.5,0.5,0.5,3,9,6,2
3230,TUS9,0.8,2.130563008,2.234976272,52,0.8,0.8,0.8,0.8,1,4,5,1
3022,TUS11,0.5,3.747230959,0.325381351,45,0.5,0.5,0.5,0.5,1,2,2,7
3074,TUS12,0.5,1.956509763,3.177014915,79,0.5,0.5,0.5,0.5,8,0,8,7
3007,TUS13,0.8,2.9645121,5.683519519,17,0.8,0.8,0.8,0.8,9,1,9,9
3273,TUS18,0.8,1.270635131,1.51209883,27,0.8,0.8,0.8,0.8,4,0,9,7
3148,TUS20,0.8,2.910270644,2.875081969,59,0.8,0.8,0.8,0.8,6,0,4,6
