taz,lot_id,direction,dist,travel_time,cost,start_time,end_time,elevation_gain,population_density,retail_density,auto_capacity,indirectness
1388,PHX1_P,access,0.4,1.5,0,0:00:00,24:00:00,83.28444933,8.056028609,79.75832337,85,1.038079582
1388,PHX2_P,access,4.21,7.21,0,0:00:00,24:00:00,14.92326861,47.17721569,37.45582567,27,1.787098678
1388,PHX21_P,access,4.92,8.44,0,0:00:00,24:00:00,316.7716293,3.391235058,64.94662796,84,0.893322108
1388,PHX23_P,access,5.85,10.03,0,0:00:00,24:00:00,266.8256901,81.77244092,15.52534481,22,1.55691231
1388,PHX10_P,access,4.88,8.37,0,0:00:00,24:00:00,78.60615845,39.33662392,34.27725425,21,0.92949901
1388,PHX18_P,access,5.78,9.92,0,0:00:00,24:00:00,69.39621563,82.67002749,11.29000171,80,1.07383698
1302,PHX2_P,access,0.4,1.5,0,0:00:00,24:00:00,232.6687865,44.63193654,37.08964567,92,0.164162082
1302,PHX1_P,access,4.22,7.23,0,0:00:00,24:00:00,45.70461397,27.00008294,57.36545909,84,0.849719986
1302,PHX21_P,access,3.1,5.32,0,0:00:00,24:00:00,245.743527,98.78764324,74.90642053,65,0.73441654
880,PHX4_P,access,0.5,1.5,0,0:00:00,24:00:00,148.8915491,64.30135939,59.4152446,54,1.659597914
880,PHX17_P,access,6.2,10.63,0,0:00:00,24:00:00,269.0812077,73.03141248,36.94775771,42,0.778199393
880,PHX24_P,access,5.15,8.82,0,0:00:00,24:00:00,190.3007401,9.147110306,66.37603304,81,0.816818833
2365,PHX5_P,access,0.8,1.5,0,0:00:00,24:00:00,83.61956666,52.19776936,38.1626374,37,1.984261655
2365,PHX19_P,access,11.08,18.99,0,0:00:00,24:00:00,133.5126229,84.75354446,4.917822512,23,0.290023238
2365,PHX26_P,access,8.8,15.09,0,0:00:00,24:00:00,141.1204476,25.76939017,73.99904565,91,0.137214873
2245,PHX7_P,access,0.5,1.5,0,0:00:00,24:00:00,77.02477793,96.55488199,11.96800742,56,0.073370359
2245,PHX2_P,access,5.58,9.56,0,0:00:00,24:00:00,258.3559682,19.18776246,26.54486057,16,0.801232023
815,PHX4_P,access,3.55,6.08,0,0:00:00,24:00:00,402.5131328,27.25350417,30.53224057,39,0.542426415
1623,PHX10_P,access,0.4,1.5,0,0:00:00,24:00:00,253.7955191,25.01416934,54.18369533,52,1.970888234
1623,PHX1_P,access,4.94,8.46,0,0:00:00,24:00:00,158.8014555,46.57165913,70.66881592,92,0.695428349
1623,PHX23_P,access,3.55,6.09,0,0:00:00,24:00:00,395.5526606,72.7785416,36.96577434,89,0.7168339
1078,PHX7_P,access,4.46,7.65,0,0:00:00,24:00:00,36.78161273,1.497702554,1.251983587,71,0.514559027
1781,PHX10_P,access,4.55,7.8,0,0:00:00,24:00:00,312.5507516,43.05309184,96.87921905,7,1.0322084
1781,PHX23_P,access,5.8,9.94,0,0:00:00,24:00:00,129.6174255,28.71299567,7.748642202,58,0.665391617
732,PHX17_P,access,0.8,1.5,0,0:00:00,24:00:00,354.6140972,91.72417941,38.03570613,83,0.664447925
732,PHX4_P,access,6.24,10.7,0,0:00:00,24:00:00,21.25448677,27.8964156,58.06866299,83,0.188411678
732,PHX24_P,access,4.78,8.2,0,0:00:00,24:00:00,280.3418532,28.29494758,70.15868641,100,0.579690663
1440,PHX18_P,access,0.8,1.5,0,0:00:00,24:00:00,481.3200069,27.58906335,78.78794578,70,1.690231625
1440,PHX1_P,access,5.78,9.92,0,0:00:00,24:00:00,371.0372737,24.3650632,93.58756061,53,0.505258311
1440,PHX2_P,access,5.73,9.83,0,0:00:00,24:00:00,78.00168937,66.8690771,32.82425657,70,0.47871486
1440,PHX21_P,access,4.08,7,0,0:00:00,24:00:00,318.4227811,93.98657472,89.81061728,65,1.969969583
1700,PHX19_P,access,0.8,1.5,0,0:00:00,24:00:00,340.8109032,97.6004984,8.755465254,66,0.065092856
1700,PHX20_P,access,3.39,5.82,0,0:00:00,24:00:00,86.01534073,59.74455533,74.14118759,4,1.236273655
1700,PHX28_P,access,8.12,13.92,0,0:00:00,24:00:00,215.8316829,87.86969299,23.88188561,52,0.775919083
1686,PHX20_P,access,0.5,1.5,0,0:00:00,24:00:00,123.4426395,93.56333352,69.05876455,58,0.229269284
1686,PHX19_P,access,3.39,5.82,0,0:00:00,24:00:00,369.8498439,47.05708906,4.30490231,32,1.415807255
1686,PHX27_P,access,5.83,9.99,0,0:00:00,24:00:00,281.5706284,4.045195894,62.28223611,8,0.645618879
1686,PHX28_P,access,6.24,10.7,0,0:00:00,24:00:00,74.17996842,95.79721351,64.14353032,8,1.008142385
1395,PHX21_P,access,0.8,1.5,0,0:00:00,24:00:00,447.3709206,63.82787199,67.42654976,20,1.874276332
1395,PHX2_P,access,3.07,5.27,0,0:00:00,24:00:00,31.19201557,16.62398061,46.56050749,1,1.32446567
1395,PHX1_P,access,4.89,8.39,0,0:00:00,24:00:00,397.7594509,56.65131484,72.59471178,94,1.988996276
1395,PHX18_P,access,4.08,7,0,0:00:00,24:00:00,99.27682614,30.46805257,29.93539928,61,1.767677942
1842,PHX26_P,access,10.36,17.75,0,0:00:00,24:00:00,364.2414636,8.735551823,68.50341366,19,0.696732598
1588,PHX23_P,access,0.5,1.5,0,0:00:00,24:00:00,116.6158997,61.34129996,16.28233694,0,0.752993924
1588,PHX10_P,access,3.55,6.09,0,0:00:00,24:00:00,2.227397611,22.44849407,67.42474536,39,0.660191773
1588,PHX1_P,access,5.95,10.19,0,0:00:00,24:00:00,406.0336271,74.32855674,68.77032997,27,1.554727869
1180,PHX24_P,access,0.5,1.5,0,0:00:00,24:00:00,82.98519503,70.97023885,79.76767069,20,0.763107506
1180,PHX4_P,access,4.98,8.53,0,0:00:00,24:00:00,451.7320328,37.2891373,68.87246096,22,1.031101903
1180,PHX17_P,access,4.75,8.15,0,0:00:00,24:00:00,485.782764,89.83427011,43.76584616,23,0.48839114
1065,PHX7_P,access,4.16,7.13,0,0:00:00,24:00:00,32.76049904,63.02024438,98.92209465,15,0.158623018
1919,PHX26_P,access,0.8,1.5,0,0:00:00,24:00:00,439.7049926,7.248939525,31.63466378,18,1.003276333
1919,PHX5_P,access,8.8,15.09,0,0:00:00,24:00:00,365.2377922,76.68647871,29.13323021,52,1.106925236
1658,PHX27_P,access,0.5,1.5,0,0:00:00,24:00:00,372.105698,7.350919089,36.94546532,76,0.031913948
1658,PHX28_P,access,5.21,8.94,0,0:00:00,24:00:00,430.3799823,12.17757345,25.64558426,3,0.011389158
1658,PHX20_P,access,6.1,10.45,0,0:00:00,24:00:00,444.3647164,26.10811834,51.04602058,45,1.980580833
1468,PHX28_P,access,0.5,1.5,0,0:00:00,24:00:00,267.2099101,37.66767404,41.9433742,24,0.58008151
1468,PHX27_P,access,5.21,8.94,0,0:00:00,24:00:00,221.5531252,38.04722966,19.0432723,19,0.411379168
1468,PHX20_P,access,6.23,10.67,0,0:00:00,24:00:00,126.3711527,14.16133509,93.46093882,74,1.516020115
1578,PHX10_P,access,6.28,10.76,0,0:00:00,24:00:00,301.0058716,55.39643569,21.61431157,42,0.659331047
1578,PHX23_P,access,3.37,5.77,0,0:00:00,24:00:00,59.93500915,61.63388227,45.46943381,61,0.718986772
2747,TUS11_P,egress,6.21,10.64,0,0:00:00,24:00:00,446.9820831,10.80790705,0.074784281,99,1.074042239
2937,TUS13_P,egress,8.23,14.11,0,0:00:00,24:00:00,484.849008,39.86864364,70.98689963,77,1.703190206
2937,TUS18_P,egress,11.11,19.05,0,0:00:00,24:00:00,359.4540473,84.15696318,20.56680745,56,1.394453727
3230,TUS9_P,egress,0.8,1.5,0,0:00:00,24:00:00,78.87565913,55.45640732,93.63296139,57,0.19475078
2920,TUS9_P,egress,12,20.57,0,0:00:00,24:00:00,248.1892653,4.587628254,33.83613723,15,0.606574655
2920,TUS11_P,egress,7.5,12.86,0,0:00:00,24:00:00,340.3372084,63.76369945,72.00451151,94,0.886943418
2920,TUS12_P,egress,5,8.57,0,0:00:00,24:00:00,77.84490012,11.14016991,26.29510317,54,0.517684463
3022,TUS11_P,egress,0.5,1.5,0,0:00:00,24:00:00,469.6253046,37.1369367,80.19268462,88,1.865621353
3022,TUS12_P,egress,2.81,4.82,0,0:00:00,24:00:00,230.3149551,67.36484333,92.43272514,11,1.573039535
3022,TUS20_P,egress,12.87,22.07,0,0:00:00,24:00:00,445.91441,96.87021133,0.838747621,37,0.852423951
3074,TUS12_P,egress,0.5,1.5,0,0:00:00,24:00:00,479.7237687,72.36551152,20.32652794,24,0.828397411
3074,TUS11_P,egress,2.81,4.82,0,0:00:00,24:00:00,310.9318279,58.40084033,34.80289391,76,1.970494819
3074,TUS20_P,egress,12.89,22.09,0,0:00:00,24:00:00,48.75173062,26.30894684,98.65468914,70,0.655836702
