route_id,route_short_name,route_long_name,route_type,agency_id,route_desc,route_url,route_color,route_text_color
12,12,SkyHarbor_Marana,3,FLXP,ROUTE 12,http://flexpress.com/route12,red,#ff0000
20,20,SkyHarbor_DesertMuseum,3,FLXP,ROUTE 20,http://flexpress.com/route20,blue,#ff0000
33,33,DowntownPHX_Ina,3,FLXP,ROUTE 33,http://flexpress.com/route33,purple,#ff0000
34,34,DowntownPHX_Marana,3,FLXP,ROUTE 34,http://flexpress.com/route34,green,#ff0000
42,42,DowntownPHX_DesertMuseum,3,FLXP,ROUTE 42,http://flexpress.com/route42,orange,#ff0000
78,78,GlendaleStadium_Marana,3,FLXP,ROUTE 78,http://flexpress.com/route78,teal,#ff0000
97,97,PhxMesaAirport_OroValley,3,FLXP,ROUTE 97,http://flexpress.com/route97,mauve,#ff0000
100,100,PhxMesaAirport_Marana,3,FLXP,ROUTE 100,http://flexpress.com/route100,pink,#ff0000
144,144,19thBethanyRd_Marana,3,FLXP,ROUTE 144,http://flexpress.com/route144,indigo,#ff0000
152,152,19thBethanyRd_DesertMuseum,3,FLXP,ROUTE 152,http://flexpress.com/route152,violet,#ff0000
185,185,ASU_OroValley,3,FLXP,ROUTE 185,http://flexpress.com/route185,yellow,#ff0000
342,342,Avondale_Marana,3,FLXP,ROUTE 342,http://flexpress.com/route342,red,#ff0000
350,350,Avondale_DesertMuseum,3,FLXP,ROUTE 350,http://flexpress.com/route350,blue,#ff0000
364,364,24thBaseline_Marana,3,FLXP,ROUTE 364,http://flexpress.com/route364,purple,#ff0000
383,383,Chandler_OroValley,3,FLXP,ROUTE 383,http://flexpress.com/route383,green,#ff0000
386,386,Chandler_Marana,3,FLXP,ROUTE 386,http://flexpress.com/route386,orange,#ff0000
392,392,Chandler_Sahaurita,3,FLXP,ROUTE 392,http://flexpress.com/route392,teal,#ff0000
405,405,ChandlerFashionCntr_OroValley,3,FLXP,ROUTE 405,http://flexpress.com/route405,mauve,#ff0000
427,427,EdPastorTC_OroValley,3,FLXP,ROUTE 427,http://flexpress.com/route427,pink,#ff0000
430,430,EdPastorTC_Marana,3,FLXP,ROUTE 430,http://flexpress.com/route430,indigo,#ff0000
471,471,SkySongTC_OroValley,3,FLXP,ROUTE 471,http://flexpress.com/route471,violet,#ff0000
496,496,DesertSkyTC_Marana,3,FLXP,ROUTE 496,http://flexpress.com/route496,yellow,#ff0000
504,504,DesertSkyTC_DesertMuseum,3,FLXP,ROUTE 504,http://flexpress.com/route504,red,#ff0000
540,540,SuperstitionTC_Marana,3,FLXP,ROUTE 540,http://flexpress.com/route540,blue,#ff0000
559,559,IKEA_OroValley,3,FLXP,ROUTE 559,http://flexpress.com/route559,purple,#ff0000
562,562,IKEA_Marana,3,FLXP,ROUTE 562,http://flexpress.com/route562,green,#ff0000
563,563,IKEA_DelSol,3,FLXP,ROUTE 563,http://flexpress.com/route563,orange,#ff0000
570,570,IKEA_DesertMuseum,3,FLXP,ROUTE 570,http://flexpress.com/route570,teal,#ff0000
581,581,PhxOutlet_OroValley,3,FLXP,ROUTE 581,http://flexpress.com/route581,mauve,#ff0000
584,584,PhxOutlet_Marana,3,FLXP,ROUTE 584,http://flexpress.com/route584,pink,#ff0000
