trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
12_1,6:00:00,6:00:00,PHX1,1,STOP: PHX1,2,2,0
12_1,7:04:00,7:04:00,TUS12,2,STOP: TUS12,0,1,0
12_2,6:15:00,6:15:00,PHX1,1,STOP: PHX1,3,1,0
12_2,7:19:00,7:19:00,TUS12,2,STOP: TUS12,1,1,1
12_3,6:30:00,6:30:00,PHX1,1,STOP: PHX1,1,2,1
12_3,7:34:00,7:34:00,TUS12,2,STOP: TUS12,0,1,1
12_4,6:45:00,6:45:00,PHX1,1,STOP: PHX1,3,2,0
12_4,7:49:00,7:49:00,TUS12,2,STOP: TUS12,1,1,0
12_5,7:00:00,7:00:00,PHX1,1,STOP: PHX1,0,1,0
12_5,8:04:00,8:04:00,TUS12,2,STOP: TUS12,2,0,1
12_6,7:15:00,7:15:00,PHX1,1,STOP: PHX1,1,1,1
12_6,8:19:00,8:19:00,TUS12,2,STOP: TUS12,2,0,0
12_7,7:30:00,7:30:00,PHX1,1,STOP: PHX1,3,3,0
12_7,8:34:00,8:34:00,TUS12,2,STOP: TUS12,3,3,1
12_8,7:45:00,7:45:00,PHX1,1,STOP: PHX1,3,2,1
12_8,8:49:00,8:49:00,TUS12,2,STOP: TUS12,0,3,0
12_9,8:00:00,8:00:00,PHX1,1,STOP: PHX1,2,3,0
12_9,9:04:00,9:04:00,TUS12,2,STOP: TUS12,2,1,1
12_10,8:15:00,8:15:00,PHX1,1,STOP: PHX1,1,2,0
12_10,9:19:00,9:19:00,TUS12,2,STOP: TUS12,3,0,0
12_11,8:30:00,8:30:00,PHX1,1,STOP: PHX1,2,1,1
12_11,9:34:00,9:34:00,TUS12,2,STOP: TUS12,2,3,1
12_12,8:45:00,8:45:00,PHX1,1,STOP: PHX1,2,2,1
12_12,9:49:00,9:49:00,TUS12,2,STOP: TUS12,0,1,1
12_13,9:00:00,9:00:00,PHX1,1,STOP: PHX1,2,2,0
12_13,10:04:00,10:04:00,TUS12,2,STOP: TUS12,0,3,1
20_1,6:00:00,6:00:00,PHX1,1,STOP: PHX1,2,2,1
20_1,7:21:00,7:21:00,TUS20,2,STOP: TUS20,1,1,1
20_2,6:15:00,6:15:00,PHX1,1,STOP: PHX1,1,1,1
20_2,7:36:00,7:36:00,TUS20,2,STOP: TUS20,3,3,0
20_3,6:30:00,6:30:00,PHX1,1,STOP: PHX1,0,3,0
20_3,7:51:00,7:51:00,TUS20,2,STOP: TUS20,3,3,0
20_4,6:45:00,6:45:00,PHX1,1,STOP: PHX1,1,2,0
