from_stop_id,to_stop_id,dist,from_route_id,to_route_id,schedule_precedence,elevation_gain,population_density,retail_density,auto_capacity,indirectness
PHX1_P,PHX1,0,,,to,409.4234084,73.33185844,73.98346706,100,1.75031889
PHX2_P,PHX2,0,,,to,474.9034163,27.80758836,56.8915533,100,1.396797908
PHX21_P,PHX21,0,,,to,120.4436368,92.39150355,18.3928379,100,0.985238549
PHX23_P,PHX23,0,,,to,216.7029761,36.96578601,78.29100463,0,0.534721017
PHX10_P,PHX10,0,,,to,27.96725756,95.06763358,26.75475095,0,0.478431735
PHX18_P,PHX18,0,,,to,222.1280399,78.43549328,11.19454505,100,1.888479415
PHX2_P,PHX2,0,,,to,107.5034577,63.59609047,24.38028125,0,0.333376282
PHX1_P,PHX1,0,,,to,256.1673783,57.12428723,73.48780679,100,1.544195733
PHX21_P,PHX21,0,,,to,121.8613341,11.54317151,4.735856619,0,0.84572648
PHX4_P,PHX4,0,,,to,222.3257417,47.15004539,24.60342388,100,0.121877568
PHX17_P,PHX17,0,,,to,40.39132394,15.46209058,50.36639589,100,1.221885635
PHX24_P,PHX24,0,,,to,299.7269211,65.5278607,19.94113555,0,1.701810984
PHX5_P,PHX5,0,,,to,491.5962985,37.50097209,67.02089838,0,1.909405815
PHX19_P,PHX19,0,,,to,251.5615247,13.65751672,66.60933606,0,1.20467034
PHX26_P,PHX26,0,,,to,444.4056052,1.121221027,17.90653963,100,1.725666699
PHX7_P,PHX7,0,,,to,457.7192508,89.99229309,48.86539603,0,0.502961008
PHX2_P,PHX2,0,,,to,327.2483831,61.69112179,57.52450229,100,0.105260698
PHX4_P,PHX4,0,,,to,471.5054719,41.74498389,63.06437714,100,1.15753569
PHX10_P,PHX10,0,,,to,122.5573047,37.830131,96.4351079,0,1.525102238
PHX1_P,PHX1,0,,,to,329.5803452,9.590579013,44.65566934,0,0.136686086
PHX23_P,PHX23,0,,,to,467.6960116,76.88685318,27.50662079,0,1.342894531
PHX7_P,PHX7,0,,,to,17.53228967,61.4455143,66.28958052,0,0.111684034
PHX10_P,PHX10,0,,,to,264.2052407,85.94346782,28.92609056,100,0.780447287
PHX23_P,PHX23,0,,,to,387.3384535,52.55298766,58.7863403,100,1.332644692
PHX17_P,PHX17,0,,,to,226.7185922,76.25649059,62.54091222,100,0.946485566
PHX4_P,PHX4,0,,,to,374.567053,32.62985039,88.45520681,100,1.020569772
PHX24_P,PHX24,0,,,to,79.09324492,68.63169996,39.01149261,100,1.16974896
PHX18_P,PHX18,0,,,to,228.9235129,95.81481221,72.50518041,0,1.126057194
PHX1_P,PHX1,0,,,to,308.8602261,26.26947767,5.312968311,100,1.526899239
PHX2_P,PHX2,0,,,to,132.4669215,72.79550219,8.23997152,100,0.39948894
PHX21_P,PHX21,0,,,to,144.9430716,22.37719549,15.50266046,100,0.004300148
PHX19_P,PHX19,0,,,to,455.8158431,87.9346557,29.94778381,0,1.603744412
PHX20_P,PHX20,0,,,to,248.0131036,21.52811807,80.51893526,100,0.56189362
PHX28_P,PHX28,0,,,to,334.4711028,14.06129962,1.058545848,0,0.784296088
PHX20_P,PHX20,0,,,to,157.2823643,32.51114098,10.40234554,100,1.930769434
PHX19_P,PHX19,0,,,to,494.7488296,27.07892438,58.66482196,0,0.876058128
PHX27_P,PHX27,0,,,to,30.49090904,23.03814385,4.550806916,100,1.645149171
PHX28_P,PHX28,0,,,to,156.5817501,91.973156,86.76321816,100,1.535820152
PHX21_P,PHX21,0,,,to,271.6826391,79.81880385,2.494590674,100,1.38840384
PHX2_P,PHX2,0,,,to,379.6320104,25.40004988,34.05033632,100,0.83988355
PHX1_P,PHX1,0,,,to,266.9228737,38.42418077,25.09948624,100,1.119497242
PHX18_P,PHX18,0,,,to,477.2344403,21.02287211,97.94715736,100,1.9446623
PHX26_P,PHX26,0,,,to,243.0278117,34.91536711,36.84959946,0,0.354250504
PHX23_P,PHX23,0,,,to,403.1935491,81.29222837,52.6907737,0,0.415918114
PHX10_P,PHX10,0,,,to,140.6583153,8.409120439,88.56478395,100,0.125033337
PHX1_P,PHX1,0,,,to,14.61682061,47.07598987,55.56557938,100,0.364004817
PHX24_P,PHX24,0,,,to,368.0069352,86.09997028,26.93883188,0,1.196534973
PHX4_P,PHX4,0,,,to,343.4269478,15.99603581,50.46350663,100,1.575323458
PHX17_P,PHX17,0,,,to,363.9169058,69.85555605,79.4956575,0,0.335312645
PHX7_P,PHX7,0,,,to,68.85329817,48.358231,38.33268639,100,1.288205134
PHX26_P,PHX26,0,,,to,475.9747664,63.19845583,29.84002312,100,0.356043555
PHX5_P,PHX5,0,,,to,348.2164741,98.82036243,86.66247448,100,0.601644072
PHX27_P,PHX27,0,,,to,497.3130954,86.45675818,23.44553622,0,0.755582471
PHX28_P,PHX28,0,,,to,300.4173784,68.02514916,32.85268759,100,1.992882666
PHX20_P,PHX20,0,,,to,246.1479829,52.01948164,56.65426705,100,0.719607016
PHX28_P,PHX28,0,,,to,417.7591936,53.7362271,72.82317222,0,0.756854773
PHX27_P,PHX27,0,,,to,344.5711538,88.71783359,82.35325745,100,0.614042282
PHX20_P,PHX20,0,,,to,42.18380423,10.05961978,42.57137776,100,1.492140344
PHX10_P,PHX10,0,,,to,360.1784618,92.80204998,90.17180219,0,1.359755414
PHX23_P,PHX23,0,,,to,459.4015289,54.69218466,9.343182152,100,0.575558483
TUS11,TUS11_P,0,,,from,450.7926733,18.36408619,74.6444108,100,1.098676229
TUS13,TUS13_P,0,,,from,389.9645209,58.02760671,69.51484714,0,1.888918152
TUS18,TUS18_P,0,,,from,278.6345918,25.10681684,2.474098437,100,1.646382076
TUS9,TUS9_P,0,,,from,403.8892589,82.12543191,16.18151938,100,1.711531082
TUS9,TUS9_P,0,,,from,482.8016961,34.23847317,75.86838378,0,1.897055197
TUS11,TUS11_P,0,,,from,93.02718648,78.40608835,36.59671427,100,0.197447557
TUS12,TUS12_P,0,,,from,371.8496687,98.79918118,6.375162763,0,0.655400986
TUS11,TUS11_P,0,,,from,109.7712369,3.17093701,16.21487838,0,0.524618111
TUS12,TUS12_P,0,,,from,219.1158112,14.90257673,92.65319921,0,0.89620208
TUS20,TUS20_P,0,,,from,274.0608846,49.90877395,4.951397064,0,1.022908382
TUS12,TUS12_P,0,,,from,79.08022429,88.8734873,44.46328648,100,0.111567766
TUS11,TUS11_P,0,,,from,499.1802942,47.41445362,25.03052504,100,1.495101722
TUS20,TUS20_P,0,,,from,51.23562679,77.34880655,13.98005635,0,1.927647293
TUS13,TUS13_P,0,,,from,490.2361274,26.01612147,9.266232044,0,0.165907112
TUS18,TUS18_P,0,,,from,326.9575729,40.64721612,16.26027491,100,0.965357057
TUS20,TUS20_P,0,,,from,138.8416008,75.222878,8.317585113,100,0.578035013
TUS11,TUS11_P,0,,,from,135.7739627,84.89562024,44.73965509,100,0.898825317
TUS12,TUS12_P,0,,,from,182.3659295,85.06644765,62.36368277,100,0.081327662
