trip_id,route_id,service_id,direction_id,trip_headsign,trip_short_name,block_id,wheelchair_accessibility,bikes_allowed
12_1,12,FLXP,1,HEADSIGN: 12_1,SHORT NAME: 12_1,,2,2
12_2,12,FLXP,1,HEADSIGN: 12_2,SHORT NAME: 12_2,,0,1
12_3,12,FLXP,1,HEADSIGN: 12_3,SHORT NAME: 12_3,,1,2
12_4,12,FLXP,1,HEADSIGN: 12_4,SHORT NAME: 12_4,,0,1
12_5,12,FLXP,1,HEADSIGN: 12_5,SHORT NAME: 12_5,,1,0
12_6,12,FLXP,1,HEADSIGN: 12_6,SHORT NAME: 12_6,,1,1
12_7,12,FLXP,1,HEADSIGN: 12_7,SHORT NAME: 12_7,,1,1
12_8,12,FLXP,1,HEADSIGN: 12_8,SHORT NAME: 12_8,,0,1
12_9,12,FLXP,1,HEADSIGN: 12_9,SHORT NAME: 12_9,,2,0
12_10,12,FLXP,1,HEADSIGN: 12_10,SHORT NAME: 12_10,,2,1
12_11,12,FLXP,1,HEADSIGN: 12_11,SHORT NAME: 12_11,,1,2
12_12,12,FLXP,1,HEADSIGN: 12_12,SHORT NAME: 12_12,,1,2
12_13,12,FLXP,1,HEADSIGN: 12_13,SHORT NAME: 12_13,,2,2
20_1,20,FLXP,1,HEADSIGN: 20_1,SHORT NAME: 20_1,,2,2
20_2,20,FLXP,1,HEADSIGN: 20_2,SHORT NAME: 20_2,,0,1
20_3,20,FLXP,1,HEADSIGN: 20_3,SHORT NAME: 20_3,,0,2
20_4,20,FLXP,1,HEADSIGN: 20_4,SHORT NAME: 20_4,,0,1
20_5,20,FLXP,1,HEADSIGN: 20_5,SHORT NAME: 20_5,,2,2
20_6,20,FLXP,1,HEADSIGN: 20_6,SHORT NAME: 20_6,,0,0
20_7,20,FLXP,1,HEADSIGN: 20_7,SHORT NAME: 20_7,,2,0
20_8,20,FLXP,1,HEADSIGN: 20_8,SHORT NAME: 20_8,,1,2
20_9,20,FLXP,1,HEADSIGN: 20_9,SHORT NAME: 20_9,,1,1
20_10,20,FLXP,1,HEADSIGN: 20_10,SHORT NAME: 20_10,,1,1
20_11,20,FLXP,1,HEADSIGN: 20_11,SHORT NAME: 20_11,,2,1
20_12,20,FLXP,1,HEADSIGN: 20_12,SHORT NAME: 20_12,,0,0
20_13,20,FLXP,1,HEADSIGN: 20_13,SHORT NAME: 20_13,,1,2
33_1,33,FLXP,1,HEADSIGN: 33_1,SHORT NAME: 33_1,,1,2
33_2,33,FLXP,1,HEADSIGN: 33_2,SHORT NAME: 33_2,,1,0
33_3,33,FLXP,1,HEADSIGN: 33_3,SHORT NAME: 33_3,,0,1
33_4,33,FLXP,1,HEADSIGN: 33_4,SHORT NAME: 33_4,,1,1
33_5,33,FLXP,1,HEADSIGN: 33_5,SHORT NAME: 33_5,,0,1
33_6,33,FLXP,1,HEADSIGN: 33_6,SHORT NAME: 33_6,,0,1
33_7,33,FLXP,1,HEADSIGN: 33_7,SHORT NAME: 33_7,,1,1
33_8,33,FLXP,1,HEADSIGN: 33_8,SHORT NAME: 33_8,,1,2
33_9,33,FLXP,1,HEADSIGN: 33_9,SHORT NAME: 33_9,,0,0
33_10,33,FLXP,1,HEADSIGN: 33_10,SHORT NAME: 33_10,,2,0
33_11,33,FLXP,1,HEADSIGN: 33_11,SHORT NAME: 33_11,,1,2
33_12,33,FLXP,1,HEADSIGN: 33_12,SHORT NAME: 33_12,,1,1
33_13,33,FLXP,1,HEADSIGN: 33_13,SHORT NAME: 33_13,,1,2
34_1,34,FLXP,1,HEADSIGN: 34_1,SHORT NAME: 34_1,,1,0
34_2,34,FLXP,1,HEADSIGN: 34_2,SHORT NAME: 34_2,,1,1
34_3,34,FLXP,1,HEADSIGN: 34_3,SHORT NAME: 34_3,,0,2
34_4,34,FLXP,1,HEADSIGN: 34_4,SHORT NAME: 34_4,,2,2
34_5,34,FLXP,1,HEADSIGN: 34_5,SHORT NAME: 34_5,,2,0
34_6,34,FLXP,1,HEADSIGN: 34_6,SHORT NAME: 34_6,,0,1
34_7,34,FLXP,1,HEADSIGN: 34_7,SHORT NAME: 34_7,,1,1
34_8,34,FLXP,1,HEADSIGN: 34_8,SHORT NAME: 34_8,,1,1
34_9,34,FLXP,1,HEADSIGN: 34_9,SHORT NAME: 34_9,,1,1
34_10,34,FLXP,1,HEADSIGN: 34_10,SHORT NAME: 34_10,,1,0
34_11,34,FLXP,1,HEADSIGN: 34_11,SHORT NAME: 34_11,,0,0
34_12,34,FLXP,1,HEADSIGN: 34_12,SHORT NAME: 34_12,,0,2
34_13,34,FLXP,1,HEADSIGN: 34_13,SHORT NAME: 34_13,,2,1
34_14,34,FLXP,1,HEADSIGN: 34_14,SHORT NAME: 34_14,,0,1
34_15,34,FLXP,1,HEADSIGN: 34_15,SHORT NAME: 34_15,,1,1
34_16,34,FLXP,1,HEADSIGN: 34_16,SHORT NAME: 34_16,,1,1
34_17,34,FLXP,1,HEADSIGN: 34_17,SHORT NAME: 34_17,,1,2
34_18,34,FLXP,1,HEADSIGN: 34_18,SHORT NAME: 34_18,,1,0
34_19,34,FLXP,1,HEADSIGN: 34_19,SHORT NAME: 34_19,,1,1
42_1,42,FLXP,1,HEADSIGN: 42_1,SHORT NAME: 42_1,,1,1
42_2,42,FLXP,1,HEADSIGN: 42_2,SHORT NAME: 42_2,,1,1
42_3,42,FLXP,1,HEADSIGN: 42_3,SHORT NAME: 42_3,,1,1
42_4,42,FLXP,1,HEADSIGN: 42_4,SHORT NAME: 42_4,,1,1
42_5,42,FLXP,1,HEADSIGN: 42_5,SHORT NAME: 42_5,,2,0
42_6,42,FLXP,1,HEADSIGN: 42_6,SHORT NAME: 42_6,,1,2
42_7,42,FLXP,1,HEADSIGN: 42_7,SHORT NAME: 42_7,,0,0
42_8,42,FLXP,1,HEADSIGN: 42_8,SHORT NAME: 42_8,,0,1
42_9,42,FLXP,1,HEADSIGN: 42_9,SHORT NAME: 42_9,,0,1
