taz,stop_id,direction,dist,elevation_gain,population_density,retail_density,auto_capacity,indirectness
1388,PHX1,access,0.4,138.3056787,55.05688032,17.68846043,37,1.308828967
1302,PHX2,access,0.4,321.8632453,68.0249015,97.60134399,24,0.22317759
880,PHX4,access,0.5,309.1068046,20.24573245,88.35262349,74,1.008399034
2365,PHX5,access,0.8,302.0550381,43.59003951,59.37307417,14,0.747186861
2245,PHX7,access,0.5,378.262263,37.56711712,26.81688497,62,1.02970324
1623,PHX10,access,0.4,56.83404307,91.69114104,93.39123054,88,1.641694437
732,PHX17,access,0.8,472.3588695,47.09505617,93.96551335,38,0.51370436
1440,PHX18,access,0.8,439.3070399,45.36478245,11.90813875,1,1.656144304
1700,PHX19,access,0.8,265.5066142,53.21618214,78.81190854,10,0.599863167
1686,PHX20,access,0.5,263.3975684,64.59333935,46.9816213,59,0.914979665
1395,PHX21,access,0.8,446.041458,99.17916552,99.79348851,71,0.866943108
1588,PHX23,access,0.5,84.73560412,93.12712239,31.99835711,22,0.603682791
1180,PHX24,access,0.5,353.9744568,95.18423359,56.33903716,26,1.007845987
1919,PHX26,access,0.8,107.2979466,29.77151881,4.766709135,14,1.317285669
1658,PHX27,access,0.5,36.19887183,29.29243235,2.685801132,85,0.183135815
1468,PHX28,access,0.5,280.2613285,39.58717676,70.09178504,51,0.420991015
3230,TUS9,egress,0.8,156.9645432,14.43365063,31.54680872,88,0.485865944
3022,TUS11,egress,0.5,261.0735888,12.33424546,8.091491197,68,0.831984275
3074,TUS12,egress,0.5,202.4552505,73.8333964,16.20373924,7,0.922094832
3007,TUS13,egress,0.8,214.1070997,26.23947184,89.18340936,86,1.000915391
3273,TUS18,egress,0.8,450.5847405,20.02977347,25.43598789,70,0.505439273
3148,TUS20,egress,0.8,2.232988722,20.02610364,57.6941153,99,1.261486317
